T_model,func_rho,func_cp,func_k
-3.199699699699699806e+01,1.067857545651747159e+03,2.665695893746039928e+03,1.077736850074046959e+00
-3.193193193193193125e+01,1.067861652156972468e+03,2.668648700477513103e+03,1.077766982058044887e+00
-3.186686686686686443e+01,1.067865818594318171e+03,2.671619612594203772e+03,1.077795985384113031e+00
-3.180180180180180116e+01,1.067870045334727365e+03,2.674608778418817110e+03,1.077823856263655955e+00
-3.173673673673673790e+01,1.067874332752205646e+03,2.677616347796040372e+03,1.077850590866982650e+00
-3.167167167167167108e+01,1.067878681223851345e+03,2.680642472111309871e+03,1.077876185322889313e+00
-3.160660660660660426e+01,1.067883091129889408e+03,2.683687304309872161e+03,1.077900635718246125e+00
-3.154154154154154099e+01,1.067887562853703912e+03,2.686750998916104891e+03,1.077923938097571810e+00
-3.147647647647647773e+01,1.067892096781869441e+03,2.689833712053119143e+03,1.077946088462606644e+00
-3.141141141141141091e+01,1.067896693304183373e+03,2.692935601462654176e+03,1.077967082771874585e+00
-3.134634634634634409e+01,1.067901352813703397e+03,2.696056826525256838e+03,1.077986916940249840e+00
-3.128128128128128083e+01,1.067906075706778893e+03,2.699197548280752017e+03,1.078005586838509222e+00
-3.121621621621621756e+01,1.067910862383086396e+03,2.702357929449019139e+03,1.078023088292884735e+00
-3.115115115115115074e+01,1.067915713245661891e+03,2.705538134451061524e+03,1.078039417084604157e+00
-3.108608608608608392e+01,1.067920628700941506e+03,2.708738329430403610e+03,1.078054568949436298e+00
-3.102102102102102066e+01,1.067925609158793122e+03,2.711958682274780585e+03,1.078068539577219820e+00
-3.095595595595595739e+01,1.067930655032554341e+03,2.715199362638163620e+03,1.078081324611393832e+00
-3.089089089089089057e+01,1.067935766739067731e+03,2.718460541963100695e+03,1.078092919648514503e+00
-3.082582582582582376e+01,1.067940944698721523e+03,2.721742393503395760e+03,1.078103320237780549e+00
-3.076076076076076049e+01,1.067946189335483041e+03,2.725045092347118043e+03,1.078112521880533858e+00
-3.069569569569569722e+01,1.067951501076941213e+03,2.728368815439956052e+03,1.078120520029768548e+00
-3.063063063063063041e+01,1.067956880354340228e+03,2.731713741608913097e+03,1.078127310089626700e+00
-3.056556556556556359e+01,1.067962327602623873e+03,2.735080051586372065e+03,1.078132887414890329e+00
-3.050050050050050032e+01,1.067967843260472591e+03,2.738467928034495344e+03,1.078137247310467339e+00
-3.043543543543543706e+01,1.067973427770345097e+03,2.741877555570020832e+03,1.078140385030870396e+00
-3.037037037037037024e+01,1.067979081578514069e+03,2.745309120789395365e+03,1.078142295779684234e+00
-3.030530530530530342e+01,1.067984805135116176e+03,2.748762812294318337e+03,1.078142974709037860e+00
-3.024024024024024015e+01,1.067990598894187087e+03,2.752238820717650924e+03,1.078142416919059432e+00
-3.017517517517517689e+01,1.067996463313706954e+03,2.755737338749725495e+03,1.078140617457328698e+00
-3.011011011011011007e+01,1.068002398855640422e+03,2.759258561165042920e+03,1.078137571318321886e+00
-3.004504504504504325e+01,1.068008405985983700e+03,2.762802684849391881e+03,1.078133273442849482e+00
-2.997997997997997999e+01,1.068014485174806396e+03,2.766369908827369272e+03,1.078127718717488026e+00
-2.991491491491491672e+01,1.068020636896297901e+03,2.769960434290313515e+03,1.078120901974002344e+00
-2.984984984984984990e+01,1.068026861628808547e+03,2.773574464624682605e+03,1.078112817988761352e+00
-2.978478478478478308e+01,1.068033159854900532e+03,2.777212205440858270e+03,1.078103461482148751e+00
-2.971971971971971982e+01,1.068039532061391128e+03,2.780873864602375761e+03,1.078092827117962393e+00
-2.965465465465465655e+01,1.068045978739402017e+03,2.784559652255639321e+03,1.078080909502808105e+00
-2.958958958958958974e+01,1.068052500384402720e+03,2.788269780860059200e+03,1.078067703185484838e+00
-2.952452452452452292e+01,1.068059097496264940e+03,2.792004465218673431e+03,1.078053202656362508e+00
-2.945945945945945965e+01,1.068065770579305763e+03,2.795763922509239819e+03,1.078037402346754492e+00
-2.939439439439439283e+01,1.068072520142340863e+03,2.799548372315809502e+03,1.078020296628273478e+00
-2.932932932932932601e+01,1.068079346698733843e+03,2.803358036660791186e+03,1.078001879812189090e+00
-2.926426426426426275e+01,1.068086250766446028e+03,2.807193140037517423e+03,1.077982146148771081e+00
-2.919919919919919948e+01,1.068093232868091036e+03,2.811053909443315206e+03,1.077961089826627861e+00
-2.913413413413413267e+01,1.068100293530982299e+03,2.814940574413096328e+03,1.077938704972030148e+00
-2.906906906906906585e+01,1.068107433287190361e+03,2.818853367053473448e+03,1.077914985648230850e+00
-2.900400400400400258e+01,1.068114652673595401e+03,2.822792522077417289e+03,1.077889925854779607e+00
-2.893893893893893932e+01,1.068121952231941577e+03,2.826758276839455448e+03,1.077863519526818248e+00
-2.887387387387387250e+01,1.068129332508890684e+03,2.830750871371422818e+03,1.077835760534374243e+00
-2.880880880880880568e+01,1.068136794056080134e+03,2.834770548418790440e+03,1.077806642681642169e+00
-2.874374374374374241e+01,1.068144337430180030e+03,2.838817553477556430e+03,1.077776159706260062e+00
-2.867867867867867915e+01,1.068151963192948870e+03,2.842892134831735802e+03,1.077744305278568682e+00
-2.861361361361361233e+01,1.068159671911292207e+03,2.846994543591436468e+03,1.077711073000865438e+00
-2.854854854854854551e+01,1.068167464157323138e+03,2.851125033731555050e+03,1.077676456406652328e+00
-2.848348348348348225e+01,1.068175340508421186e+03,2.855283862131077058e+03,1.077640448959863440e+00
-2.841841841841841898e+01,1.068183301547293468e+03,2.859471288613030993e+03,1.077603044054091130e+00
-2.835335335335335216e+01,1.068191347862034036e+03,2.863687575985052263e+03,1.077564235011800875e+00
